Loc Type,A,B,Source ID,AT Grp,FT Grp,AM_est,MD_est,PM_est,EV_est,EA_est,Daily_est,AT,FT,Daily_obs,AM_obs,MD_obs,PM_obs,EV_obs,EA_obs,AM_ratio,AM_diff,AM_pctdiff,AM_absdiff,AM_rmse,MD_ratio,MD_diff,MD_pctdiff,MD_absdiff,MD_rmse,PM_ratio,PM_diff,PM_pctdiff,PM_absdiff,PM_rmse,EV_ratio,EV_diff,EV_pctdiff,EV_absdiff,EV_rmse,EA_ratio,EA_diff,EA_pctdiff,EA_absdiff,EA_rmse,Daily_ratio,Daily_diff,Daily_pctdiff,Daily_absdiff,Daily_rmse,AB
101/280,7144,6956,1019,Sub,Fwy/Ramp,21946.50586,45401.23047,25410.36328,32105.94531,5237.95703,130102.00195,4.0,2.0,114949.66666666645,19146.3333333333,39175.3333333333,20811.1666666666,29416.1666666666,6400.66666666666,1.1462511112658667,2800.1725266667017,14.625111126586674,2800.1725266667017,2800.1725266667017,1.1589239096880701,6225.897136666703,15.892390968807007,6225.897136666703,6225.897136666703,1.220996577798782,4599.196613333403,22.099657779878196,4599.196613333403,4599.196613333403,1.0914387885346517,2689.7786433334004,9.14387885346518,2689.7786433334004,2689.7786433334004,0.8183455416102497,-1162.7096366666601,-18.165445838975025,1162.7096366666601,1162.7096366666601,1.1318171311211596,15152.335283333552,13.181713112115952,15152.335283333552,15152.335283333552,7144 6956
101/280,52155,52158,1032,UrbBiz,Fwy/Ramp,25215.04102,54619.94922,25619.01367,43906.52734,9370.5791,158731.11035,2.0,2.0,114251.99999999985,21863.0,38272.6666666666,12193.0,34113.6666666666,7809.66666666666,1.1533202680327495,3352.0410200000006,15.332026803274942,3352.0410200000006,3352.0410200000006,1.427126823842954,16347.282553333403,42.712682384295405,16347.282553333403,16347.282553333403,2.1011247166406957,13426.01367,110.11247166406955,13426.01367,13426.01367,1.2870656141722308,9792.860673333402,28.70656141722307,9792.860673333402,9792.860673333402,1.1998692773912685,1560.9124333333411,19.98692773912684,1560.9124333333411,1560.9124333333411,1.3893070611455398,44479.11035000015,38.93070611455397,44479.11035000015,44479.11035000015,52155 52158
101/280,52160,52154,2001,UrbBiz,Fwy/Ramp,22898.72852,52003.95703,25618.31055,40418.33984,10135.58301,151074.91895,2.0,2.0,133385.99999999997,20154.3333333333,43939.0,20768.5,38637.5,9886.66666666666,1.1361689886376811,2744.395186666701,13.616898863768117,2744.395186666701,2744.395186666701,1.183548943535356,8064.957029999998,18.354894353535578,8064.957029999998,8064.957029999998,1.2335176132123167,4849.810549999998,23.351761321231663,4849.810549999998,4849.810549999998,1.0460909696538336,1780.8398400000005,4.609096965383372,1780.8398400000005,1780.8398400000005,1.0251769733648017,248.91634333333968,2.5176973364801736,248.91634333333968,248.91634333333968,1.1326145093937896,17688.91895000002,13.261450939378964,17688.91895000002,17688.91895000002,52160 52154
101/280,52113,52169,2003,UrbBiz,Fwy/Ramp,22507.84961,50568.08203,26271.11523,39840.28125,8986.57617,148173.90428999998,2.0,2.0,132511.99999999994,18635.0,43357.3333333333,22285.0,39542.3333333333,8692.33333333333,1.2078266493158036,3872.849610000001,20.782664931580367,3872.849610000001,3872.849610000001,1.166309782966358,7210.748696666698,16.630978296635796,7210.748696666698,7210.748696666698,1.178869877944806,3986.1152299999994,17.88698779448059,3986.1152299999994,3986.1152299999994,1.0075349098434598,297.9479166667006,0.7534909843459775,297.9479166667006,297.9479166667006,1.033850845956207,294.24283666667,3.385084595620701,294.24283666667,294.24283666667,1.118192347032722,15661.904290000035,11.819234703272189,15661.904290000035,15661.904290000035,52113 52169
101/280,6980,6994,2013,Sub,Fwy/Ramp,22514.24609,42751.62891,22625.35352,30330.63477,7159.56543,125381.42872000001,4.0,2.0,122190.9999999998,21628.6666666666,42740.3333333333,19603.8333333333,29964.1666666666,8254.0,1.0409447071787477,885.5794233334018,4.0944707178747555,885.5794233334018,885.5794233334018,1.0002642837756694,11.295576666700072,0.026428377566935404,11.295576666700072,11.295576666700072,1.1541290489105043,3021.520186666701,15.412904891050422,3021.520186666701,3021.520186666701,1.0122302117529294,366.4681033334018,1.223021175292942,366.4681033334018,366.4681033334018,0.8674055524594135,-1094.4345700000003,-13.259444754058642,1094.4345700000003,1094.4345700000003,1.0261101776726618,3190.4287200002145,2.611017767266181,3190.4287200002145,3190.4287200002145,6980 6994
101/280,52127,52115,3010,UrbBiz,Fwy/Ramp,9220.25391,17487.34375,6814.42139,7886.8584,524.7724,41933.64985,2.0,2.0,33010.99999999989,8652.33333333333,11197.9999999999,6348.0,5051.0,1761.66666666666,1.0656378522171286,567.9205766666691,6.563785221712863,567.9205766666691,567.9205766666691,1.5616488435435039,6289.3437500001,56.164884354350384,6289.3437500001,6289.3437500001,1.0734753292375552,466.42139000000043,7.34753292375552,466.42139000000043,466.42139000000043,1.5614449415957237,2835.8584,56.14449415957237,2835.8584,2835.8584,0.2978840491958384,-1236.8942666666599,-70.21159508041616,1236.8942666666599,1236.8942666666599,1.2702932310442017,8922.64985000011,27.02932310442016,8922.64985000011,8922.64985000011,52127 52115
101/280,52146,52161,3013,UrbBiz,Fwy/Ramp,15505.59082,30441.39063,14379.98926,14247.53027,1206.22449,75780.72546999999,2.0,2.0,48933.833333333285,9766.0,18277.8333333333,9125.5,9645.83333333333,2118.66666666666,1.587711531845177,5739.590819999999,58.77115318451771,5739.590819999999,5739.590819999999,1.6654813551934524,12163.557296666702,66.54813551934524,12163.557296666702,12163.557296666702,1.5758028886088433,5254.48926,57.580288860884345,5254.48926,5254.48926,1.4770657731317498,4601.696936666669,47.70657731317499,4601.696936666669,4601.696936666669,0.5693318864065467,-912.4421766666601,-43.06681135934532,912.4421766666601,912.4421766666601,1.5486366039175363,26846.892136666705,54.86366039175362,26846.892136666705,26846.892136666705,52146 52161
101/280,52507,52125,4008,UrbBiz,Fwy/Ramp,4341.11133,17745.58789,10637.12891,9966.93066,455.08957,43145.848359999996,2.0,2.0,30364.99999999993,2906.33333333333,10292.1666666666,8713.0,8031.5,422.0,1.4936728971212312,1434.7779966666699,49.36728971212312,1434.7779966666699,1434.7779966666699,1.7241838832121625,7453.421223333398,72.41838832121627,7453.421223333398,7453.421223333398,1.2208342603007,1924.1289099999995,22.083426030070004,1924.1289099999995,1924.1289099999995,1.2409799738529539,1935.43066,24.0979973852954,1935.43066,1935.43066,1.0784113033175355,33.08956999999998,7.84113033175355,33.08956999999998,33.08956999999998,1.4209072405730312,12780.848360000065,42.09072405730313,12780.848360000065,12780.848360000065,52507 52125
101/280,52129,52301,4013,UrbBiz,Fwy/Ramp,8294.66895,27708.80859,16911.63281,20061.67188,2112.88794,75089.67017000001,2.0,2.0,75841.33333333323,8624.66666666666,26021.9999999999,18422.0,20891.0,1881.66666666666,0.9617379164412158,-329.9977166666613,-3.8262083558784283,329.9977166666613,329.9977166666613,1.064822403735305,1686.8085900000988,6.4822403735304945,1686.8085900000988,1686.8085900000988,0.918012854738899,-1510.3671900000008,-8.19871452611009,1510.3671900000008,1510.3671900000008,0.9603021339332728,-829.3281199999983,-3.969786606672722,829.3281199999983,829.3281199999983,1.1228811018600573,231.22127333334015,12.28811018600572,231.22127333334015,231.22127333334015,0.9900890038413546,-751.6631633332145,-0.9910996158645445,751.6631633332145,751.6631633332145,52129 52301
101/280,6956,40003,119,Sub,Fwy/Ramp,843.16656,2311.29932,1279.97693,1784.9906,173.95326,6393.386670000001,4.0,5.0,3033.666666666658,516.666666666666,1059.16666666666,592.666666666666,717.5,147.666666666666,1.6319352774193572,326.49989333333406,63.1935277419357,326.49989333333406,326.49989333333406,2.1821866121164577,1252.1326533333402,118.21866121164577,1252.1326533333402,1252.1326533333402,2.159691107986504,687.3102633333341,115.96911079865045,687.3102633333341,687.3102633333341,2.4877917770034843,1067.4906,148.77917770034844,1067.4906,1067.4906,1.1780130474040684,26.286593333333997,17.801304740406852,26.286593333333997,26.286593333333997,2.107478300186799,3359.720003333343,110.74783001867989,3359.720003333343,3359.720003333343,6956 40003
